"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
4400,"High",1621,30.73,8,9,8,1,0
4401,"High",459,88.46,4,3,10,5,0
4402,"High",1391,49.82,20,9,10,1,0
4403,"Low",1282,43.44,7,4,3,4,0
4404,"High",566,8.57,8,0,5,1,0
4405,"Low",268,96.56,15,6,4,2,0
4406,"High",1659,59.55,3,5,8,0,0
4407,"High",942,44.16,3,1,9,1,0
4408,"Low",762,51.17,26,7,10,0,1
4409,"Low",1056,69.03,14,10,5,4,0
4410,"Low",1774,81.67,5,1,8,4,0
4411,"Low",1701,94.34,8,2,8,1,0
4412,"High",804,28.21,26,11,9,3,1
4413,"High",824,0.71,14,6,10,5,0
4414,"High",1785,51.94,8,0,4,4,0
4415,"Low",81,16.56,9,1,5,3,0
4416,"Low",956,38.82,15,7,3,1,0
4417,"High",1760,7.19,15,0,3,1,0
4418,"Low",1035,60.71,4,2,9,3,0
4419,"Low",1679,77.11,30,0,7,5,1
4420,"Low",543,20.25,20,2,7,2,0
4421,"High",1399,3.38,28,10,1,0,1
4422,"Low",837,26.49,8,6,2,0,0
4423,"Low",1512,96.83,2,7,0,2,0
4424,"Low",855,80.39,22,9,1,3,0
4425,"High",707,78,20,1,7,5,0
4426,"High",564,15.49,19,3,9,2,0
4427,"High",900,48.75,15,8,1,4,0
4428,"High",676,57.77,6,7,7,2,0
4429,"High",174,87.5,12,5,4,4,0
4430,"Low",1206,91.51,28,9,3,3,1
4431,"High",908,66.99,5,0,2,0,0
4432,"Low",1362,50.62,4,10,4,2,0
4433,"Low",900,17.27,13,3,8,2,0
4434,"Low",540,87.71,19,10,5,3,0
4435,"Low",1610,25.44,29,5,2,1,1
4436,"High",1400,94.89,20,8,10,0,0
4437,"High",1320,83.87,30,2,1,2,0
4438,"Low",1580,14.57,26,5,0,4,1
4439,"Low",1751,55.21,20,6,2,1,0
4440,"High",104,2.33,24,7,10,2,0
4441,"High",651,78,28,8,0,4,0
4442,"Low",1190,92.14,30,2,5,0,1
4443,"High",87,5.5,11,5,9,2,0
4444,"Low",29,3.59,26,0,5,1,0
4445,"High",394,12.78,2,6,9,2,0
4446,"High",889,63.6,17,10,0,0,0
4447,"High",1683,33.2,19,7,3,4,0
4448,"High",136,65.31,8,8,8,4,0
4449,"High",856,48.25,27,2,4,2,0
4450,"High",1439,56.71,6,6,1,5,0
4451,"Low",771,2.92,4,11,5,3,0
4452,"Low",737,3.58,3,5,4,5,0
4453,"Low",749,9.86,6,11,8,4,0
4454,"High",1516,47.7,17,4,2,3,0
4455,"Low",1416,35.8,2,9,2,1,0
4456,"High",32,60.21,1,0,8,0,0
4457,"High",1590,41.34,19,10,7,1,0
4458,"High",180,47.12,20,2,1,5,0
4459,"High",567,25.12,20,10,5,5,0
4460,"High",858,70.65,26,7,0,4,0
4461,"High",1174,8.93,11,11,8,3,0
4462,"High",1410,6.51,10,7,7,0,0
4463,"Low",1734,13.83,5,8,10,2,0
4464,"High",78,64.67,5,1,3,1,0
4465,"Low",1553,60.7,24,7,9,0,1
4466,"High",786,19.86,30,2,6,3,0
4467,"High",686,85.67,19,11,9,1,0
4468,"Low",1286,82.07,2,1,8,2,0
4469,"High",1520,83.27,15,3,9,1,0
4470,"Low",770,66.96,8,7,7,5,0
4471,"Low",1290,1.07,20,4,2,5,0
4472,"Low",1793,20.19,30,5,9,2,1
4473,"High",404,7.98,27,0,1,2,0
4474,"Low",724,1.3,27,4,5,3,1
4475,"High",1502,15.68,18,6,1,5,0
4476,"High",1147,97.78,6,3,7,1,0
4477,"Low",991,10.16,23,9,1,5,0
4478,"High",1415,39.91,11,5,6,5,0
4479,"Low",164,64.8,1,11,10,1,0
4480,"High",720,36.68,5,8,6,4,0
4481,"High",1406,99.15,28,10,6,2,1
4482,"High",926,46.45,24,5,10,2,0
4483,"Low",1527,54.25,13,9,7,2,0
4484,"Low",678,87.55,30,6,3,5,1
4485,"Low",791,5.76,2,4,6,2,0
4486,"Low",489,15.79,14,11,7,1,0
4487,"High",792,14.1,23,0,10,5,0
4488,"High",1081,88.05,5,9,6,3,0
4489,"Low",145,32.22,2,3,4,2,0
4490,"High",116,11.96,11,9,0,5,0
4491,"Low",634,73.3,2,0,2,1,0
4492,"Low",353,85.44,14,1,2,1,0
4493,"High",1490,8.92,29,6,2,1,0
4494,"Low",1652,86.26,13,3,3,0,0
4495,"High",489,6.12,9,3,9,4,0
4496,"High",1548,32.26,8,7,6,2,0
4497,"Low",671,41.95,20,9,0,4,0
4498,"Low",247,2.99,29,2,2,4,0
4499,"High",589,34.65,12,7,10,1,0
4500,"Low",1613,63.5,21,3,8,2,1
4501,"High",376,58.25,23,10,6,1,0
4502,"High",1140,21.1,20,4,9,3,0
4503,"High",1416,99.02,6,3,0,0,0
4504,"Low",1416,2.12,16,4,4,3,0
4505,"High",1271,85.87,10,1,9,4,0
4506,"Low",1354,45.09,18,1,10,0,0
4507,"High",89,0.33,18,6,9,3,0
4508,"Low",1421,45.19,5,8,1,2,0
4509,"Low",1422,56.56,20,6,5,0,0
4510,"Low",1700,31.57,17,6,9,5,0
4511,"High",184,69.88,28,5,8,1,0
4512,"Low",1806,52.9,22,7,3,5,1
4513,"High",1512,99.66,29,1,9,4,1
4514,"High",1188,35.19,10,2,6,5,0
4515,"Low",1051,8.95,30,4,10,4,1
4516,"Low",1535,5.95,29,6,8,2,1
4517,"Low",1290,96.23,8,4,8,2,0
4518,"Low",1638,61.29,12,8,1,0,0
4519,"High",774,90.06,9,0,0,0,0
4520,"High",1752,63.12,11,10,6,4,0
4521,"High",484,65.05,16,3,7,0,0
4522,"High",870,53.18,23,4,0,4,0
4523,"High",1405,72.71,29,4,0,2,0
4524,"High",690,53.05,29,1,5,1,0
4525,"High",672,5.63,25,9,9,1,0
4526,"High",1539,4.11,5,3,3,5,0
4527,"Low",105,64.83,7,6,3,3,0
4528,"High",165,14.85,21,0,0,2,0
4529,"High",1252,9.01,22,6,3,3,0
4530,"Low",1214,56.22,1,4,4,1,0
4531,"Low",1749,59.96,5,10,2,1,0
4532,"High",902,52.66,2,9,0,4,0
4533,"Low",578,43.13,12,6,7,5,0
4534,"High",222,23.95,16,5,6,5,0
4535,"Low",650,75.41,3,1,0,4,0
4536,"Low",1820,7.92,1,5,6,5,0
4537,"High",813,39.06,28,3,2,4,0
4538,"High",1500,27.55,2,4,2,3,0
4539,"High",858,56.84,28,11,1,3,0
4540,"Low",1364,9.36,29,9,9,3,1
4541,"High",1797,54.84,28,0,10,1,1
4542,"Low",220,42.85,13,4,8,2,0
4543,"High",1578,93.47,19,8,0,2,0
4544,"Low",243,81.12,5,7,5,0,0
4545,"Low",1379,32.07,23,11,8,3,1
4546,"Low",1142,90.64,15,8,1,4,0
4547,"Low",902,57.72,30,9,10,3,1
4548,"High",1473,35.25,8,3,3,4,0
4549,"Low",632,18.93,28,8,10,5,1
4550,"Low",1372,34.7,24,3,3,0,1
4551,"High",472,54.46,5,6,3,0,0
4552,"Low",311,41.78,19,9,0,0,0
4553,"High",173,56.94,22,4,8,1,0
4554,"High",948,40.84,22,2,6,1,0
4555,"High",1283,49.3,3,11,3,4,0
4556,"High",1508,51.78,4,2,7,3,0
4557,"Low",1159,3.02,20,11,0,5,0
4558,"High",941,88.79,30,4,4,3,0
4559,"Low",477,87.13,22,7,3,4,0
4560,"Low",1571,18.95,17,8,3,5,0
4561,"High",1004,19.96,18,8,3,5,0
4562,"Low",235,11.31,25,3,0,3,0
4563,"Low",1161,73,14,8,3,2,0
4564,"High",175,60.52,8,11,10,5,0
4565,"Low",132,0.64,24,11,5,3,0
4566,"High",1759,70.33,27,7,7,5,1
4567,"Low",830,91.02,18,8,5,3,0
4568,"High",976,49.89,27,1,7,5,0
4569,"High",1253,99.26,1,5,9,5,0
4570,"Low",650,40.56,9,4,2,0,0
4571,"Low",674,33.69,15,9,9,0,0
4572,"High",1549,13.78,17,10,6,1,0
4573,"Low",904,96.81,24,1,7,0,0
4574,"High",117,50.64,17,5,0,1,0
4575,"High",373,31.96,4,10,4,2,0
4576,"Low",290,95.27,8,7,4,0,0
4577,"High",1795,66.5,24,2,7,5,0
4578,"Low",383,9.21,13,8,6,5,0
4579,"Low",1315,59.93,8,2,6,5,0
4580,"High",500,43.5,19,6,1,3,0
4581,"Low",189,69.97,6,11,7,1,0
4582,"Low",584,13.25,17,5,10,0,0
4583,"Low",54,68.85,13,1,10,5,0
4584,"High",1612,83,18,7,4,2,0
4585,"Low",1777,8.01,30,1,8,3,1
4586,"High",1512,45.2,24,11,0,3,0
4587,"High",1604,90.98,21,7,8,3,0
4588,"High",767,34.54,14,7,8,1,0
4589,"Low",10,62.96,26,10,5,0,0
4590,"Low",1790,89.67,27,0,5,2,1
4591,"High",358,89.69,4,3,2,2,0
4592,"Low",1246,12.69,1,2,5,4,0
4593,"Low",1404,10.51,14,8,4,3,0
4594,"High",274,56.25,2,0,4,2,0
4595,"Low",869,29.52,6,10,6,3,0
4596,"Low",279,93.19,14,0,5,2,0
4597,"High",1551,99.03,13,5,1,5,0
4598,"High",1241,48.93,1,9,3,5,0
4599,"High",1092,59.41,22,7,1,1,0
4600,"Low",626,81.91,10,3,0,2,0
4601,"Low",1253,4.12,17,7,0,0,0
4602,"High",1439,86.66,1,6,10,3,0
4603,"Low",932,25.58,23,7,5,2,1
4604,"Low",1218,29.52,5,2,6,2,0
4605,"High",168,28.59,3,4,4,4,0
4606,"Low",1358,85.21,10,6,0,5,0
4607,"Low",642,59.54,20,9,7,2,0
4608,"High",136,35.78,2,5,5,4,0
4609,"High",288,76.89,15,8,7,0,0
4610,"Low",496,33.29,24,6,5,2,1
4611,"High",763,99.74,11,4,2,1,0
4612,"High",1065,40.88,29,6,9,3,1
4613,"High",626,97.16,6,8,6,5,0
4614,"Low",930,65.04,3,9,3,0,0
4615,"Low",381,70.23,7,11,2,0,0
4616,"High",812,56.41,6,1,2,1,0
4617,"Low",1448,36.15,14,1,9,4,0
4618,"Low",1449,30.47,30,6,5,0,1
4619,"Low",809,3.04,19,6,4,3,0
4620,"High",542,97.52,17,9,8,4,0
4621,"High",1196,12.95,21,5,8,2,0
4622,"Low",1475,35.33,10,8,7,1,0
4623,"Low",1672,79.71,27,3,2,2,1
4624,"Low",1278,7.07,28,4,8,0,1
4625,"Low",336,76.87,11,11,9,5,0
4626,"High",149,83.75,27,0,5,0,0
4627,"Low",1159,95.23,1,5,2,0,0
4628,"Low",86,76.47,8,11,1,0,0
4629,"High",1283,86.71,13,11,6,4,0
4630,"Low",337,79.62,28,4,10,2,1
4631,"High",1487,73.98,6,3,10,5,0
4632,"Low",1825,26.34,1,8,7,2,0
4633,"Low",566,71.65,6,9,10,1,0
4634,"High",1068,27.24,6,2,5,0,0
4635,"Low",1352,98.79,23,10,0,3,1
4636,"Low",50,25.14,27,10,6,0,0
4637,"Low",434,32.27,1,5,5,5,0
4638,"Low",1463,48.35,4,5,4,1,0
4639,"High",266,17.29,5,6,10,2,0
4640,"Low",784,51.47,19,9,1,5,0
4641,"High",514,36.71,9,0,10,4,0
4642,"High",84,11.72,8,10,6,4,0
4643,"Low",1157,95.57,21,7,2,4,0
4644,"High",1699,69.17,30,4,5,5,1
4645,"Low",1525,67.02,1,8,9,2,0
4646,"Low",570,53.64,22,4,2,2,0
4647,"Low",1644,23.95,9,11,7,4,0
4648,"High",585,69.68,6,5,8,0,0
4649,"Low",1589,33.49,24,7,4,4,1
4650,"High",1473,4.74,13,5,8,5,0
4651,"Low",103,99.38,17,5,8,5,0
4652,"Low",637,63.67,5,7,7,3,0
4653,"High",934,5.64,5,5,7,5,0
4654,"Low",391,86.04,13,10,6,3,0
4655,"Low",628,19.72,30,4,3,1,1
4656,"Low",1037,79.38,3,11,10,3,0
4657,"Low",1154,64.6,6,7,3,2,0
4658,"Low",222,69.09,18,7,9,5,0
4659,"Low",354,1.76,9,0,8,1,0
4660,"Low",1181,75.37,3,0,3,0,0
4661,"High",1417,79.25,9,11,2,3,0
4662,"Low",19,12.35,16,2,6,5,0
4663,"High",554,13.16,1,1,6,1,0
4664,"Low",1337,33.97,18,4,7,3,0
4665,"Low",69,98,1,10,9,4,0
4666,"Low",1124,90.3,29,6,3,0,1
4667,"High",1117,40.58,16,8,4,5,0
4668,"High",1480,47.35,29,1,5,5,0
4669,"High",525,81.52,15,9,10,0,0
4670,"Low",1273,84.96,10,4,6,0,0
4671,"High",991,20.23,11,0,0,1,0
4672,"Low",1084,14.41,16,7,4,5,0
4673,"Low",1097,47.67,27,7,1,4,1
4674,"High",878,1.39,23,0,4,3,0
4675,"Low",1160,58.3,23,8,10,4,1
4676,"Low",868,9.42,14,7,2,5,0
4677,"Low",1014,92.87,10,10,7,5,0
4678,"High",971,49.34,30,7,8,4,1
4679,"High",1271,6.19,23,0,1,0,0
4680,"Low",834,39.39,27,4,10,3,1
4681,"High",1516,81.69,23,2,1,3,0
4682,"High",226,54.9,20,1,3,2,0
4683,"High",768,97.73,7,11,4,0,0
4684,"High",643,58.68,1,7,0,2,0
4685,"High",1509,67.01,14,4,0,1,0
4686,"Low",1259,31.87,23,8,2,5,1
4687,"Low",970,44.66,22,6,2,2,0
4688,"Low",188,28.18,14,7,0,3,0
4689,"High",1017,14.2,5,5,3,1,0
4690,"Low",1296,51.75,12,1,2,5,0
4691,"Low",1331,48.32,11,1,6,0,0
4692,"High",415,64.3,10,9,0,2,0
4693,"Low",828,88.7,4,3,3,0,0
4694,"Low",265,18.5,9,9,6,5,0
4695,"Low",1387,2.52,22,1,4,2,0
4696,"Low",461,97.21,28,7,9,1,1
4697,"High",1107,62.83,16,9,1,0,0
4698,"High",1257,25.67,10,10,4,1,0
4699,"Low",316,10.93,7,8,6,0,0
4700,"Low",787,88.77,28,5,4,5,1
4701,"High",1147,48.16,2,7,4,2,0
4702,"High",1668,84.81,14,5,7,0,0
4703,"Low",1183,59.79,20,9,6,5,0
4704,"Low",196,9.15,7,8,1,1,0
4705,"High",1515,78.87,4,0,0,2,0
4706,"Low",394,34.91,25,7,4,2,0
4707,"High",994,78.91,8,6,5,1,0
4708,"Low",1562,35.94,9,3,3,3,0
4709,"Low",1176,52.37,3,3,4,5,0
4710,"High",556,9.43,22,11,10,3,0
4711,"High",1019,11.62,14,7,3,0,0
4712,"Low",77,39.24,13,11,9,4,0
4713,"High",1327,40.46,18,1,7,5,0
4714,"Low",58,75.71,2,9,4,2,0
4715,"Low",344,82.99,30,0,4,5,0
4716,"High",1325,71.27,6,3,3,1,0
4717,"Low",1321,29.14,9,1,0,0,0
4718,"High",1132,74.45,28,7,5,3,1
4719,"Low",185,83.32,5,2,10,1,0
4720,"Low",594,61.18,1,10,4,0,0
4721,"Low",459,69.44,14,6,6,3,0
4722,"Low",124,98.47,16,6,3,0,0
4723,"Low",1736,54.88,22,8,9,3,1
4724,"Low",516,82.97,23,3,1,5,0
4725,"Low",242,99.14,24,11,10,2,1
4726,"High",1431,50.04,30,7,5,5,1
4727,"Low",1231,36.84,13,9,9,1,0
4728,"Low",695,20.74,5,11,4,2,0
4729,"High",757,42.65,5,6,0,1,0
4730,"Low",1163,45.26,27,5,7,2,1
4731,"High",59,81.77,15,8,1,1,0
4732,"Low",1215,15.32,18,4,3,3,0
4733,"High",903,0.25,14,1,6,5,0
4734,"Low",336,41.58,16,8,4,0,0
4735,"Low",150,82.86,22,3,2,3,0
4736,"High",499,40.41,4,5,9,0,0
4737,"Low",695,88.96,2,11,10,4,0
4738,"High",458,28.02,21,7,2,3,0
4739,"Low",966,5.12,25,8,6,5,1
4740,"High",842,83.35,21,5,9,0,0
4741,"High",1633,58.63,26,0,6,1,0
4742,"High",1790,94.31,4,10,3,2,0
4743,"Low",1742,74.96,21,3,10,0,1
4744,"Low",640,37.91,28,1,6,0,1
4745,"High",299,87.85,4,10,8,1,0
4746,"High",1502,30.07,11,11,3,1,0
4747,"Low",1226,75.41,18,4,5,1,0
4748,"High",972,37.17,11,1,5,5,0
4749,"Low",439,63.23,8,10,3,2,0
4750,"High",313,40.27,20,10,1,5,0
4751,"Low",1174,80.17,19,10,0,3,0
4752,"Low",1052,29.81,15,5,9,3,0
4753,"High",1346,58.01,9,2,2,2,0
4754,"High",863,40.12,10,10,7,1,0
4755,"Low",638,4.78,22,7,10,0,1
4756,"High",1754,37.07,13,9,1,2,0
4757,"Low",212,54.28,4,8,5,5,0
4758,"Low",202,82.83,4,6,6,4,0
4759,"High",396,94.65,26,3,8,1,0
4760,"Low",1114,90.99,18,4,5,4,0
4761,"Low",307,91.85,19,2,10,4,0
4762,"High",1325,61.65,3,2,9,0,0
4763,"Low",272,60.02,22,7,8,1,1
4764,"Low",1329,80.73,9,2,10,1,0
4765,"High",39,84.65,3,0,4,5,0
4766,"Low",622,91.54,17,1,3,5,0
4767,"Low",328,2.66,20,9,1,1,0
4768,"Low",1521,33.65,14,6,3,3,0
4769,"High",362,5.07,26,8,7,1,0
4770,"Low",243,14.14,20,1,4,4,0
4771,"High",1599,88.46,1,3,3,0,0
4772,"High",1484,15.46,25,8,7,2,0
4773,"High",1045,44.37,23,9,7,1,0
4774,"Low",1609,89.37,18,7,0,3,0
4775,"High",1601,97.69,20,4,4,5,0
4776,"Low",1321,3.95,23,6,7,1,1
4777,"High",1185,3.88,5,2,0,4,0
4778,"Low",1240,61.35,25,11,9,4,1
4779,"High",1779,2.56,7,6,2,0,0
4780,"High",1562,61.42,7,10,10,1,0
4781,"High",341,70.41,27,8,10,2,1
4782,"Low",1283,87.42,3,7,6,0,0
4783,"High",390,47.24,29,5,7,3,0
4784,"High",1770,75.2,11,1,2,4,0
4785,"High",106,1.49,11,4,3,5,0
4786,"High",901,74.93,20,1,7,5,0
4787,"High",1219,99.32,6,9,9,4,0
4788,"Low",953,74.61,25,9,6,1,1
4789,"High",292,95.46,6,9,8,2,0
4790,"High",1585,38.78,25,8,7,2,0
4791,"Low",1533,38.93,26,7,2,1,1
4792,"High",820,59.63,13,6,1,1,0
4793,"High",1744,21.83,4,5,9,5,0
4794,"High",1187,25.05,22,4,4,5,0
4795,"High",145,89.05,17,10,0,1,0
4796,"Low",1403,10.01,19,11,4,0,0
4797,"Low",1760,81.41,1,3,2,0,0
4798,"Low",1411,42,9,5,10,3,0
4799,"High",1215,49.06,3,0,2,4,0
4800,"Low",749,79,15,9,0,5,0
4801,"High",500,27.5,1,2,6,3,0
4802,"High",315,52.37,28,10,6,2,1
4803,"Low",92,86.74,27,0,5,5,0
4804,"Low",292,76.65,27,1,3,2,0
4805,"High",1041,41.15,11,11,6,4,0
4806,"Low",1377,77.36,7,11,5,3,0
4807,"Low",236,32.19,24,8,0,4,0
4808,"Low",1287,55.18,28,10,3,3,1
4809,"Low",1119,40.08,18,0,3,2,0
4810,"Low",1592,97.84,16,11,3,3,0
4811,"Low",57,53.07,7,11,9,5,0
4812,"High",325,44.84,2,2,5,5,0
4813,"High",1275,67.14,6,0,7,2,0
4814,"Low",27,17.78,16,1,0,3,0
4815,"High",1180,70.37,12,2,0,0,0
4816,"Low",655,77.04,30,8,0,4,1
4817,"Low",1525,5.42,17,6,1,5,0
4818,"Low",988,80.77,19,1,8,4,0
4819,"High",951,35.14,19,9,3,1,0
4820,"High",1207,95.19,10,4,7,3,0
4821,"High",1398,3.23,24,5,6,1,0
4822,"Low",1284,85.44,10,5,1,4,0
4823,"High",1601,27.22,22,1,4,1,0
4824,"Low",803,73.14,24,2,3,1,0
4825,"High",351,68.48,7,10,1,1,0
4826,"High",602,96.89,19,5,0,5,0
4827,"High",1419,7.23,12,3,3,2,0
4828,"High",1814,27.64,25,2,5,1,0
4829,"High",339,2.08,25,0,5,1,0
4830,"High",1680,82.71,14,3,8,2,0
4831,"Low",1713,72.18,21,0,7,1,0
4832,"High",1023,91.5,26,8,10,1,1
4833,"Low",1550,17.12,12,0,3,4,0
4834,"Low",266,70.57,26,6,3,2,0
4835,"Low",106,34.45,12,8,4,1,0
4836,"High",847,60.8,15,4,3,2,0
4837,"Low",324,74.25,7,9,5,0,0
4838,"Low",1454,45.12,27,3,6,0,1
4839,"High",23,54.3,28,3,5,4,0
4840,"High",1107,23.63,13,5,9,3,0
4841,"Low",1003,0.07,27,7,1,1,1
4842,"High",1359,30.51,30,7,8,1,1
4843,"High",285,68.19,1,7,2,1,0
4844,"Low",1731,74.77,8,6,3,4,0
4845,"Low",1228,78.76,12,10,4,3,0
4846,"Low",486,72.78,16,4,2,4,0
4847,"High",884,59.69,1,9,1,2,0
4848,"High",1428,26.98,28,7,5,4,1
4849,"Low",48,45.47,26,1,7,2,0
4850,"Low",600,50,10,11,0,4,0
4851,"Low",1231,14.97,19,1,1,4,0
4852,"Low",1412,24.8,24,0,7,0,1
4853,"High",77,93.12,2,8,7,5,0
4854,"High",1438,31.84,16,1,3,5,0
4855,"Low",184,59.74,17,6,1,5,0
4856,"High",922,53.1,30,1,4,2,0
4857,"High",798,96.21,8,6,2,3,0
4858,"High",1733,61.42,26,8,9,2,1
4859,"Low",775,69.01,8,9,8,2,0
4860,"Low",174,23.29,21,1,0,5,0
4861,"Low",405,65.65,21,10,6,1,0
4862,"High",388,95.98,17,5,10,5,0
4863,"Low",618,26.5,1,7,0,4,0
4864,"High",1823,40.42,3,10,0,2,0
4865,"Low",1092,98.77,30,8,8,3,1
4866,"High",1398,1.26,9,6,9,4,0
4867,"High",1380,63.56,15,2,0,4,0
4868,"Low",1090,71.55,26,6,3,1,1
4869,"Low",1582,99.71,10,2,5,2,0
4870,"High",1573,92.83,1,4,4,1,0
4871,"Low",1366,25.19,23,9,8,5,1
4872,"Low",824,91.66,6,4,8,5,0
4873,"Low",1635,9.06,23,5,4,3,0
4874,"High",659,96.37,5,11,6,5,0
4875,"High",1811,11.87,27,9,4,4,1
4876,"Low",802,48.25,8,4,3,2,0
4877,"High",826,75.18,11,8,9,3,0
4878,"High",286,84.43,26,1,5,1,0
4879,"High",1561,4.82,28,8,9,3,1
4880,"Low",785,73,26,1,3,4,0
4881,"High",557,99.11,26,5,8,1,0
4882,"High",435,10.41,11,0,6,2,0
4883,"High",1582,36.1,1,0,3,0,0
4884,"Low",1184,38.82,29,0,6,3,1
4885,"Low",404,18.14,3,9,3,3,0
4886,"High",839,35.17,20,0,3,2,0
4887,"Low",1107,18.12,8,2,10,3,0
4888,"High",1555,45.59,13,1,2,3,0
4889,"High",1665,5.81,28,8,4,4,0
4890,"High",327,86.4,3,6,5,3,0
4891,"High",30,29.11,4,1,8,3,0
4892,"High",266,52.33,25,10,1,0,0
4893,"Low",1073,77.9,15,11,8,3,0
4894,"High",746,84.64,8,9,6,0,0
4895,"Low",153,39.99,23,3,2,4,0
4896,"Low",1277,77.71,29,10,6,1,1
4897,"High",1777,74.3,11,9,8,2,0
4898,"Low",437,63.07,21,11,7,1,0
4899,"High",1020,75.7,26,8,10,5,1
4900,"High",1176,75.2,13,1,10,3,0
4901,"High",652,8.87,13,7,10,4,0
4902,"Low",576,91.92,5,0,8,3,0
4903,"Low",1200,31.9,17,2,0,1,0
4904,"Low",1033,14.93,9,9,9,3,0
4905,"High",967,65.33,2,9,5,3,0
4906,"High",137,6.64,7,9,4,3,0
4907,"High",1387,97.23,27,4,6,4,0
4908,"High",232,79.08,26,5,1,1,0
4909,"High",646,92.72,25,10,0,5,0
4910,"High",214,38.76,10,0,7,4,0
4911,"Low",1096,74.72,2,1,6,5,0
4912,"High",858,60.37,26,10,9,2,1
4913,"High",258,17.39,17,4,1,0,0
4914,"Low",210,57.43,23,1,7,2,0
4915,"Low",306,56.95,4,6,9,4,0
4916,"Low",1546,59.84,13,11,3,1,0
4917,"Low",630,15.49,4,1,4,5,0
4918,"Low",162,47.81,15,2,3,5,0
4919,"Low",1407,74.09,23,7,0,3,0
4920,"High",854,73.93,1,1,7,3,0
4921,"Low",1445,17.6,4,6,0,2,0
4922,"Low",455,72.4,4,8,5,3,0
4923,"Low",345,61.12,23,0,2,2,0
4924,"Low",985,71.5,30,3,0,2,1
4925,"High",869,8,29,11,7,4,0
4926,"High",108,11.71,6,7,1,2,0
4927,"Low",425,10.67,23,2,7,4,0
4928,"Low",988,46.69,20,11,4,1,0
4929,"High",963,76.91,24,10,9,5,0
4930,"High",378,68.58,8,3,6,1,0
4931,"High",482,94.35,1,5,7,2,0
4932,"Low",730,90.87,10,3,1,1,0
4933,"High",1688,86.3,15,2,9,2,0
4934,"Low",1545,95.08,23,8,8,0,1
4935,"Low",228,44.65,22,5,3,4,0
4936,"Low",1328,39.53,21,0,2,5,0
4937,"Low",582,51.03,10,8,2,3,0
4938,"High",941,96.93,1,3,6,0,0
4939,"Low",458,0.39,24,9,9,4,1
4940,"Low",694,14.96,27,4,1,4,0
4941,"High",1493,92.56,28,9,8,1,1
4942,"High",1443,65.68,26,5,9,3,1
4943,"High",1797,96.32,3,7,9,5,0
4944,"Low",1224,36.78,24,5,3,2,1
4945,"Low",572,43.57,22,9,5,4,1
4946,"High",1758,82.22,4,9,4,2,0
4947,"High",1264,60.58,18,9,0,4,0
4948,"High",1022,13.62,6,8,2,4,0
4949,"Low",509,54.94,10,9,7,0,0
4950,"High",752,23.65,30,8,6,4,0
4951,"High",1688,36.64,27,3,6,0,1
4952,"High",1296,81.27,11,7,10,3,0
4953,"Low",1493,42.83,21,3,6,5,0
4954,"High",259,39.55,27,7,10,2,1
4955,"Low",464,35.67,15,8,6,3,0
4956,"Low",1089,39.73,20,9,8,3,1
4957,"Low",976,75.32,16,8,2,5,0
4958,"Low",79,13.08,19,11,10,0,0
4959,"Low",308,25.8,4,0,0,1,0
4960,"High",1420,10.84,20,5,4,5,0
4961,"Low",579,54.28,6,11,4,3,0
4962,"High",309,26.61,12,1,6,1,0
4963,"High",50,31.42,1,7,0,2,0
4964,"High",1735,73.99,20,11,8,1,0
4965,"Low",22,29.32,7,9,10,1,0
4966,"Low",1610,74.66,6,4,8,2,0
4967,"Low",1635,43.31,16,8,0,1,0
4968,"High",1438,56.3,28,6,3,0,1
4969,"High",923,0.81,13,2,6,4,0
4970,"Low",1707,72.94,8,5,7,3,0
4971,"Low",586,22.57,26,6,7,3,1
4972,"High",1070,44.02,20,3,5,5,0
4973,"Low",998,38.83,29,0,1,3,1
4974,"High",1026,57.2,11,9,10,4,0
4975,"Low",1077,40.55,16,1,9,1,0
4976,"Low",944,66.42,29,3,4,1,1
4977,"High",167,55.4,17,2,0,0,0
4978,"High",1467,14.48,23,7,10,5,0
4979,"Low",444,99.46,9,4,7,4,0
4980,"Low",492,48.94,18,6,1,0,0
4981,"High",863,77.99,8,3,5,2,0
4982,"Low",1000,18.13,14,2,8,5,0
4983,"High",780,71.79,7,0,6,0,0
4984,"Low",1598,53.31,30,1,10,2,1
4985,"High",684,64.69,21,5,3,1,0
4986,"Low",1070,67.51,12,11,6,3,0
4987,"High",1638,71.82,12,8,7,5,0
4988,"High",1297,86.11,17,2,4,3,0
4989,"High",898,54.59,19,10,6,0,0
4990,"Low",879,55.42,7,8,9,5,0
4991,"High",884,22.24,11,10,0,0,0
4992,"Low",568,13.45,5,5,10,3,0
4993,"High",1122,34.03,25,9,8,0,1
4994,"High",502,38.93,9,5,10,5,0
4995,"Low",507,53.45,5,0,10,4,0
4996,"High",727,36.29,9,9,3,1,0
4997,"High",1797,38.76,18,2,5,0,0
4998,"Low",792,14.6,12,11,8,4,0
4999,"High",1171,3.33,9,3,2,5,0
5000,"Low",83,74.15,14,4,10,2,0
5001,"Low",591,95.78,10,8,9,2,0
5002,"High",938,55.45,12,10,4,1,0
5003,"Low",24,66.33,10,3,1,3,0
5004,"High",889,93.69,10,7,3,2,0
5005,"High",606,11.6,25,0,6,0,0
5006,"Low",999,30.58,26,3,8,4,1
5007,"Low",1,40.06,18,11,7,2,0
